discipline_title,slug_game,country_name,country_3_letter_code,athlete1_first_name,athlete1_last_name,athlete1_url,athlete2_first_name,athlete2_last_name,athlete2_url,participant_type,event_title,event_gender,medal_type
Skeleton,beijing-2022,Australia,AUS,Jackie,Narracott,https://olympics.com/en/athletes/jackie-narracott,,,,Athlete,Women,Women,SILVER
Speed skating,beijing-2022,Sweden,SWE,Nils,Van Der Poel,https://olympics.com/en/athletes/nils-van-der-poel,,,,Athlete,Men's 5000m,Men,GOLD
Speed skating,beijing-2022,Republic of Korea,KOR,Min,Seok Kim,https://olympics.com/en/athletes/kim-16,Jaewon,Chung,https://olympics.com/en/athletes/jaewon-chung,Athlete,Men's 1500m,Men,BRONZE
Speed skating,beijing-2022,ROC,ROC,Angelina,Golikova,https://olympics.com/en/athletes/angelina-golikova,,,,Athlete,Women's 500m,Women,BRONZE
Nordic Combined,beijing-2022,Japan,JPN,Akito,Watabe,https://olympics.com/en/athletes/akito-watabe,,,,Athlete,Individual Gundersen Large Hill/10km,Men,BRONZE
Nordic Combined,beijing-2022,Norway,NOR,Joergen,Graabak,https://olympics.com/en/athletes/joergen-graabak,Jens,Luraas Oftebro,https://olympics.com/en/athletes/jens-luraas-oftebro,Athlete,Individual Gundersen Normal Hill/10km,Men,SILVER
Speed skating,beijing-2022,People's Republic of China,CHN,Tingyu,Gao,https://olympics.com/en/athletes/tingyu-gao,,,,Athlete,Men's 500m,Men,GOLD
Speed skating,beijing-2022,Norway,NOR,Havard,Lorentzen,https://olympics.com/en/athletes/havard-lorentzen-1,Hallgeir,Engebraaten,https://olympics.com/en/athletes/hallgeir-engebraaten,Athlete,Men's 1000m,Men,BRONZE
Speed skating,beijing-2022,Netherlands,NED,Kjeld,Nuis,https://olympics.com/en/athletes/kjeld-nuis,Thomas,Krol,https://olympics.com/en/athletes/thomas-krol,Athlete,Men's 1500m,Men,GOLD
Speed skating,beijing-2022,Japan,JPN,Miho,Takagi,https://olympics.com/en/athletes/miho-takagi,Miho,Takagi,https://olympics.com/en/athletes/miho-takagi,Athlete,Women's 1000m,Women,GOLD
Speed skating,beijing-2022,Italy,ITA,Francesca,Lollobrigida,https://olympics.com/en/athletes/francesca-lollobrigida,Davide,Ghiotto,https://olympics.com/en/athletes/davide-ghiotto,Athlete,Women's Mass Start,Women,BRONZE
Speed skating,beijing-2022,Czech Republic,CZE,Martina,Sablikova,https://olympics.com/en/athletes/martina-sablikova,,,,Athlete,Women's 5000m,Women,BRONZE
Figure skating,beijing-2022,United States of America,USA,,,,,,,,Ice Dance,Mixed,BRONZE
Figure skating,beijing-2022,ROC,ROC,,,,,,,,Team Event,Mixed,GOLD
Figure skating,beijing-2022,People's Republic of China,CHN,,,,,,,,Pair Skating,Mixed,GOLD
Speed skating,beijing-2022,Canada,CAN,Laurent,Dubreuil,https://olympics.com/en/athletes/laurent-dubreuil,Ivanie,Blondin,https://olympics.com/en/athletes/ivanie-blondin,Athlete,Men's 1000m,Men,SILVER
Speed skating,beijing-2022,Belgium,BEL,Bart,Swings,https://olympics.com/en/athletes/bart-swings,,,,Athlete,Men's Mass Start,Men,GOLD
Cross Country Skiing,beijing-2022,Austria,AUT,Teresa,Stadlober,https://olympics.com/en/athletes/teresa-stadlober,,,,Athlete,Women's 7.5km + 7.5km Skiathlon,Women,BRONZE
Speed skating,beijing-2022,United States of America,USA,Brittany,Bowe,https://olympics.com/en/athletes/brittany-bowe,Erin,Jackson,https://olympics.com/en/athletes/erin-jackson,Athlete,Women's 1000m,Women,BRONZE
Nordic Combined,beijing-2022,Germany,GER,Vinzenz,Geiger,https://olympics.com/en/athletes/geiger-1,,,,Athlete,Individual Gundersen Normal Hill/10km,Men,GOLD
Nordic Combined,beijing-2022,Austria,AUT,Lukas,Greiderer,https://olympics.com/en/athletes/lukas-greiderer,,,,Athlete,Individual Gundersen Normal Hill/10km,Men,BRONZE
Freestyle Skiing,beijing-2022,Australia,AUS,Jakara,Anthony,https://olympics.com/en/athletes/anthony,,,,Athlete,Women's Moguls,Women,GOLD
Bobsleigh,beijing-2022,United States of America,USA,Elana,Meyers Taylor,https://olympics.com/en/athletes/elana-meyers-taylor,Kaillie,Humphries,https://olympics.com/en/athletes/kaillie-humphries,Athlete,Women's Monobob,Women,SILVER
Luge,beijing-2022,Austria,AUT,,,,,,,,Doubles,Open,BRONZE
Luge,beijing-2022,Germany,GER,,,,,,,,Doubles,Open,GOLD
Luge,beijing-2022,Italy,ITA,Dominik,Fischnaller,https://olympics.com/en/athletes/dominik-fischnaller,,,,Athlete,Men's Singles,Men,BRONZE
Luge,beijing-2022,ROC,ROC,Tatyana,Ivanova,https://olympics.com/en/athletes/tatyana-ivanova,,,,Athlete,Women's Singles,Women,BRONZE
Freestyle Skiing,beijing-2022,United States of America,USA,David,Wise,https://olympics.com/en/athletes/david-wise,Alex,Ferreira,https://olympics.com/en/athletes/alex-ferreira,Athlete,Men's Freeski Halfpipe,Men,SILVER
Freestyle Skiing,beijing-2022,Ukraine,UKR,Oleksandr,Abramenko,https://olympics.com/en/athletes/oleksandr-abramenko,,,,Athlete,Men's Aerials,Men,SILVER
Freestyle Skiing,beijing-2022,Switzerland,SUI,Alex,Fiva,https://olympics.com/en/athletes/alex-fiva,Ryan,Regez,https://olympics.com/en/athletes/ryan-regez,Athlete,Men's Ski Cross,Men,SILVER
Cross Country Skiing,beijing-2022,Finland,FIN,,,,,,,,Men's Team Sprint Classic,Men,SILVER
Freestyle Skiing,beijing-2022,Sweden,SWE,Walter,Wallberg,https://olympics.com/en/athletes/wallberg,Henrik,Harlaut,https://olympics.com/en/athletes/henrik-harlaut,Athlete,Men's Moguls,Men,GOLD
Freestyle Skiing,beijing-2022,People's Republic of China,CHN,Ailing,Eileen Gu,https://olympics.com/en/athletes/gu-ailing-eileen,Guangpu,Qi,https://olympics.com/en/athletes/guangpu-qi,Athlete,Women's Freeski Big Air,Women,GOLD
Freestyle Skiing,beijing-2022,Norway,NOR,Birk,Ruud,https://olympics.com/en/athletes/birk-ruud,,,,Athlete,Men's Freeski Big Air,Men,GOLD
