discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_url,country_name,country_3_letter_code,first_name,last_name
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,https://olympics.com/en/athletes/stefania-constantini,Italy,ITA,Stefania,Constantini
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,https://olympics.com/en/athletes/amos-mosaner,Italy,ITA,Amos,Mosaner
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,https://olympics.com/en/athletes/kristin-skaslien,Norway,NOR,Kristin,Skaslien
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,https://olympics.com/en/athletes/magnus-nedregotten,Norway,NOR,Magnus,Nedregotten
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,https://olympics.com/en/athletes/almida-de-val,Sweden,SWE,Almida,De Val
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,https://olympics.com/en/athletes/oskar-eriksson,Sweden,SWE,Oskar,Eriksson
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,https://olympics.com/en/athletes/mikael-kingsbury,Canada,CAN,Mikael,Kingsbury
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,https://olympics.com/en/athletes/wallberg,Sweden,SWE,Walter,Wallberg
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,https://olympics.com/en/athletes/ikuma-horishima,Japan,JPN,Ikuma,Horishima
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,https://olympics.com/en/athletes/nico-porteous,New Zealand,NZL,Nico,Porteous
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,https://olympics.com/en/athletes/david-wise,United States of America,USA,David,Wise
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,https://olympics.com/en/athletes/alex-ferreira,United States of America,USA,Alex,Ferreira
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,https://olympics.com/en/athletes/henrik-harlaut,Sweden,SWE,Henrik,Harlaut
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,https://olympics.com/en/athletes/birk-ruud,Norway,NOR,Birk,Ruud
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,https://olympics.com/en/athletes/colby-stevenson,United States of America,USA,Colby,Stevenson
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,https://olympics.com/en/athletes/sergey-ridzik-1,ROC,ROC,Sergey,Ridzik
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,https://olympics.com/en/athletes/alex-fiva,Switzerland,SUI,Alex,Fiva
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,https://olympics.com/en/athletes/ryan-regez,Switzerland,SUI,Ryan,Regez
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,https://olympics.com/en/athletes/mathilde-gremaud,Switzerland,SUI,Mathilde,Gremaud
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CHN,Ailing,Eileen Gu
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,https://olympics.com/en/athletes/tess-ledeux,France,FRA,Tess,Ledeux
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,https://olympics.com/en/athletes/kauf,United States of America,USA,Jaelin,Kauf
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,https://olympics.com/en/athletes/anthony,Australia,AUS,Jakara,Anthony
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,https://olympics.com/en/athletes/anastasiia-smirnova,ROC,ROC,Anastasiia,Smirnova
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,https://olympics.com/en/athletes/marielle-thompson,Canada,CAN,Marielle,Thompson
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,https://olympics.com/en/athletes/sandra-naeslund,Sweden,SWE,Sandra,Naeslund
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,https://olympics.com/en/athletes/daniela-maier,Germany,GER,Daniela,Maier
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,https://olympics.com/en/athletes/ilia-burov,ROC,ROC,Ilia,Burov
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,https://olympics.com/en/athletes/guangpu-qi,People's Republic of China,CHN,Guangpu,Qi
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,https://olympics.com/en/athletes/oleksandr-abramenko,Ukraine,UKR,Oleksandr,Abramenko
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,https://olympics.com/en/athletes/hanna-huskova,Belarus,BLR,Hanna,Huskova
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,https://olympics.com/en/athletes/mengtao-xu,People's Republic of China,CHN,Mengtao,Xu
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,https://olympics.com/en/athletes/megan-nick,United States of America,USA,Megan,Nick
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,https://olympics.com/en/athletes/cassie-sharpe,Canada,CAN,Cassie,Sharpe
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CHN,Ailing,Eileen Gu
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,https://olympics.com/en/athletes/rachel-karker,Canada,CAN,Rachel,Karker
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CHN,Ailing,Eileen Gu
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,https://olympics.com/en/athletes/mathilde-gremaud,Switzerland,SUI,Mathilde,Gremaud
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,https://olympics.com/en/athletes/kelly-sildaru,Estonia,EST,Kelly,Sildaru
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,https://olympics.com/en/athletes/nicholas-goepper,United States of America,USA,Nicholas,Goepper
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,https://olympics.com/en/athletes/jesper-tjader,Sweden,SWE,Jesper,Tjader
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,https://olympics.com/en/athletes/alexander-hall-1,United States of America,USA,Alexander,Hall
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,https://olympics.com/en/athletes/suzanne-schulting,Netherlands,NED,Suzanne,Schulting
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,https://olympics.com/en/athletes/boutin,Canada,CAN,Kim,Boutin
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,https://olympics.com/en/athletes/arianna-fontana,Italy,ITA,Arianna,Fontana
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,https://olympics.com/en/athletes/steven-dubois,Canada,CAN,Steven,Dubois
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,https://olympics.com/en/athletes/shaoang-liu,Hungary,HUN,Shaoang,Liu
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,https://olympics.com/en/athletes/konstantin-ivliev,ROC,ROC,Konstantin,Ivliev
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,https://olympics.com/en/athletes/semen-elistratov,ROC,ROC,Semen,Elistratov
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,https://olympics.com/en/athletes/daeheon-hwang,Republic of Korea,KOR,Daeheon,Hwang
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,https://olympics.com/en/athletes/steven-dubois,Canada,CAN,Steven,Dubois
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,https://olympics.com/en/athletes/ren,People's Republic of China,CHN,Ziwei,Ren
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,https://olympics.com/en/athletes/wenlong-li,People's Republic of China,CHN,Wenlong,Li
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,https://olympics.com/en/athletes/shaoang-liu,Hungary,HUN,Shaoang,Liu
